#20        /15000 episodes , avg train score : -7.8, test score: 0.2 n_buffer : 1401
#40        /15000 episodes , avg train score : -11.6, test score: -2.0 n_buffer : 3177
#60        /15000 episodes , avg train score : -2.4, test score: -2.0 n_buffer : 5177
/home/vivianchen/Desktop/workspace/ma_gym_dataset/scripts/maddpg.py:35: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525493953/work/torch/csrc/utils/tensor_new.cpp:230.)
  torch.tensor(a_lst, dtype=torch.float), \
#80        /15000 episodes , avg train score : -2.3, test score: -2.0 n_buffer : 7177
#100       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 9177
#120       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 11177
#140       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 13177
#160       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 15177
#180       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 17177
#200       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 19177
#220       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 21177
#240       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 23177
#260       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 25177
#280       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 27177
#300       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 29177
#320       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 31177
#340       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 33177
#360       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 35177
#380       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 37177
#400       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 39177
#420       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 41177
#440       /15000 episodes , avg train score : -2.2, test score: -2.0 n_buffer : 43177
#460       /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 45177
